n_x,n_m,L
256,100000,1.375068912
256,250000,1.3779097920000003
256,315000,1.381835952
256,500000,1.379153076
256,1000000,1.3782273960000002
256,5000000,1.37828964
256,10000000,1.378439664
512,100000,1.3792153200000001
512,150000,1.3838133960000003
512,200000,1.3792568160000003
512,250000,1.383672948
512,500000,1.3852242600000002
512,1000000,1.382841432
512,5000000,1.3839155400000003
512,10000000,1.38412302
1024,100000,1.4135548560000002
1024,250000,1.40339472
1024,500000,1.3982444280000004
1024,1000000,1.3941155760000001
1024,5000000,1.3884689280000004
1024,10000000,1.387444296
2048,100000,1.5451658040000003
2048,250000,1.4928632880000001
2048,388000,1.48181418
2048,500000,1.474338516
2048,1000000,1.4654408160000003
2048,5000000,1.419815964
2048,10000000,1.4128925160000003
