dataset,eps_y_nm,seed,n_x,n_y,n_z,n_m,channel,n_pairs,n_reach,reach_pct,median_pt_MeV,median_pt_reach_MeV
nominal,1.0,100805,512,512,25,100000,ALL,123064,125,0.10157316518234415,2.156017516639772,15.705448385173987
nominal,1.0,100805,512,512,25,100000,BH,65040,63,0.09686346863468635,3.382187970126967,17.28745206952021
nominal,1.0,100805,512,512,25,100000,BW,2948,10,0.33921302578018997,1.546359628079448,19.048433081093503
nominal,1.0,100805,512,512,25,100000,LL,55076,52,0.09441499019536641,1.3238509837948556,14.55535003658955
nominal,1.0,105469,512,512,25,100000,ALL,126728,108,0.08522189255728806,2.1221311182494644,15.406608339380737
nominal,1.0,105469,512,512,25,100000,BH,66112,43,0.06504114230396903,3.3223376088531675,14.32755812537913
nominal,1.0,105469,512,512,25,100000,BW,2874,14,0.4871259568545581,1.4173535189351043,17.18087231251101
nominal,1.0,105469,512,512,25,100000,LL,57742,51,0.0883239236604205,1.3471540469005474,15.822667665918017
nominal,1.0,130471,512,512,25,100000,ALL,120358,127,0.10551853636650659,2.148327465329277,14.906673658584888
nominal,1.0,130471,512,512,25,100000,BH,62882,53,0.08428485099074456,3.3768932799888494,17.277179943485226
nominal,1.0,130471,512,512,25,100000,BW,2800,11,0.39285714285714285,1.5385089009838646,12.915748420308407
nominal,1.0,130471,512,512,25,100000,LL,54676,63,0.11522423000951057,1.3422551360209238,13.898505663127965
nominal,1.0,135135,512,512,25,100000,ALL,124880,138,0.11050608584240872,2.0991522323526053,15.377507188050052
nominal,1.0,135135,512,512,25,100000,BH,64978,52,0.08002708609067684,3.3347488846553546,13.43580019591724
nominal,1.0,135135,512,512,25,100000,BW,2716,13,0.4786450662739323,1.4193789384659712,15.859613248381303
nominal,1.0,135135,512,512,25,100000,LL,57186,73,0.1276536215157556,1.3121058641704157,17.04192017536443
nominal,1.0,143455,512,512,25,100000,ALL,124592,138,0.11076152561962245,2.147440165703399,16.187180547087397
nominal,1.0,143455,512,512,25,100000,BH,65386,51,0.07799834827027192,3.341331781543535,16.376394846445628
nominal,1.0,143455,512,512,25,100000,BW,2958,12,0.4056795131845842,1.5404182561898005,14.466387701866118
nominal,1.0,143455,512,512,25,100000,LL,56248,75,0.13333807424263974,1.357441541772892,16.15762622430967
nominal,1.0,145992,512,512,25,100000,ALL,131828,139,0.10544042236854083,2.1886478262494387,15.268101381062614
nominal,1.0,145992,512,512,25,100000,BH,68874,57,0.0827598222841711,3.398324262762108,16.37628899120129
nominal,1.0,145992,512,512,25,100000,BW,3000,16,0.5333333333333333,1.4817461506063092,19.646514093621924
nominal,1.0,145992,512,512,25,100000,LL,59954,66,0.11008439803849618,1.381148830660955,14.352571861379289
nominal,1.0,153768,512,512,25,100000,ALL,123958,118,0.0951935332935349,2.184499627291389,15.624105577510358
nominal,1.0,153768,512,512,25,100000,BH,65558,54,0.0823698099392904,3.3838074705090517,16.063097511946193
nominal,1.0,153768,512,512,25,100000,BW,2906,5,0.1720578114246387,1.5382050123473188,18.563065802440274
nominal,1.0,153768,512,512,25,100000,LL,55494,59,0.10631780012253576,1.364317205741925,15.126571135067046
nominal,1.0,159302,512,512,25,100000,ALL,121754,124,0.10184470325410254,2.171293266619771,15.483340687454753
