# Luminosity of the BIB pair-dump runs themselves, read from their .ref files.
# lumi_ee: cm^-2 s^-1 = lumi_ee[m^-2 per crossing] * 1e-4 * n_b * f_rep,
#   with n_b and f_rep read from the same .ref (factor 1.596), applied once.
# n_pairs: pairs per bunch crossing, as the run counted them.
# ref_filename: path under $GP_RAW_ROOT (see paths.py).
dataset,eps_y_nm,seed,n_x,n_y,n_z,n_m,lumi_ee,n_pairs,ref_filename
nominal,2.0,100805,512,512,25,100000,3.9811422000000004e+34,104902,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_100805.ref
nominal,2.0,105469,512,512,25,100000,4.0833819600000003e+34,106328,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_105469.ref
nominal,2.0,130471,512,512,25,100000,3.82237212e+34,102448,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_130471.ref
nominal,2.0,135135,512,512,25,100000,4.0165255200000006e+34,105190,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_135135.ref
nominal,2.0,143455,512,512,25,100000,3.9920588400000002e+34,105362,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_143455.ref
nominal,2.0,145992,512,512,25,100000,4.19056932e+34,111416,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_145992.ref
nominal,2.0,153768,512,512,25,100000,3.8118066000000003e+34,102166,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_153768.ref
nominal,2.0,159302,512,512,25,100000,3.7913458800000004e+34,100576,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_159302.ref
nominal,2.0,167029,512,512,25,100000,3.9900478799999997e+34,106514,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167029.ref
nominal,2.0,167815,512,512,25,100000,3.9019806e+34,102676,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167815.ref
nominal,4.0,100805,512,512,25,100000,3.09276072e+34,88692,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_100805.ref
nominal,4.0,105469,512,512,25,100000,3.0834560400000005e+34,87728,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_105469.ref
nominal,4.0,130471,512,512,25,100000,3.01944048e+34,86812,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_130471.ref
