eps_y_nm,dataset,channel,seeds,n_x,n_y,n_z,n_m,n_pairs,n_reach,reach_pct,frac_of_total_pct,reach_frac_of_total_pct,pt_median_MeV,pt_mean_MeV,pt_p90_MeV,pt_p99_MeV,pt_max_MeV,pt_median_reach_MeV,E_median_GeV,theta_median_mrad,frac_pt_gt_20MeV,n_pairs_sd,n_reach_sd,reach_pct_sd,frac_of_total_pct_sd,reach_frac_of_total_pct_sd,pt_median_MeV_sd,pt_mean_MeV_sd,pt_p90_MeV_sd,pt_p99_MeV_sd,pt_max_MeV_sd,pt_median_reach_MeV_sd,E_median_GeV_sd,theta_median_mrad_sd,frac_pt_gt_20MeV_sd
2.0,nominal,ALL,10,512,512,25,100000,104982.6,101.2,0.09654306590842,100.0,100.0,2.1514299670260875,6.74213964297752,20.508614195043016,46.651960546309795,208.03550369836026,15.531641303884177,0.08092907499999999,21.895998617478945,10.403834521978814,2972.3983657047793,9.138441393974745,0.0100397204552349,0.0,0.0,0.022294959338215174,0.029193694427962446,0.09085528663608491,0.301792609579067,92.68897770118878,0.9995121625759648,0.0017838606778324184,0.26095788685801397,0.07360717503282442
2.0,nominal,BH,10,512,512,25,100000,55841.2,42.8,0.07664923178037068,53.18880055388087,42.01854804504597,3.3648444652134346,8.072835985504206,23.43082681051323,45.718968961148875,152.0256602999474,15.729223923057342,0.25344285,11.486036687256506,13.216102042790492,1695.2013843002062,9.150591966279194,0.01625530911039269,0.2890110099901085,7.148721541670771,0.04116408592837223,0.03189012283774404,0.10574565684903649,0.29946084269354833,92.62635334627856,1.4681307651989153,0.003874144737515897,0.14964297705990864,0.11461768631433555
2.0,nominal,BW,10,512,512,25,100000,2397.0,11.1,0.46006440716556335,2.283734977936656,11.00149663091845,1.5323487433360596,4.748997834074665,13.509928339522057,36.39689502092793,135.85290917916848,16.145452994710528,0.026287880000000003,46.900291278881205,5.382137924587627,71.99537022151725,4.04007700696685,0.15860771231870724,0.05539369352374545,3.9893597126755433,0.06059482304000301,0.24118246728355416,0.5949811803514391,1.0109846844281039,101.99216181491805,3.1220296068863473,0.003510876972052551,3.015044731251786,0.37215543121894734
2.0,nominal,LL,10,512,512,25,100000,46744.4,47.3,0.10153094966204126,44.52746446818248,46.97995532403558,1.3103725891330775,5.254612317594696,15.520611226800984,48.649539203118806,129.85329511882296,15.445263271401789,0.01914569999999998,55.95981784246543,7.301990633387748,1296.7558838201667,9.695932709704163,0.022199246854176964,0.31986142686464253,10.056786534786044,0.0126169891555872,0.05433092860265179,0.24498023599167026,0.7380117327928933,43.6683794514633,1.5341460239776836,0.00047904046627955096,0.8139037437869707,0.1060312453003928
2.0,tuned,ALL,10,512,256,64,2235661,112719.2,113.8,0.10097363323265791,100.0,100.0,2.1177223066455406,6.647203076216144,20.247639292161278,46.10139721330681,203.41144205831202,15.202855705998047,0.07905637499999998,21.69671490171107,10.19425839940413,1323.0124547998623,15.788884979278585,0.01402606007181141,0.0,0.0,0.016559187377304822,0.028305753021867653,0.1188678624359785,0.4507881316598914,124.7619956352248,0.7647501755052996,0.0012300729789212774,0.21550393031763895,0.09659057079502557
2.0,tuned,BH,10,512,256,64,2235661,59020.0,47.8,0.08096648134629655,52.360711080303794,41.837088986958875,3.321423748647613,7.9566481531588575,23.086838872995862,45.075826876930776,157.37975775432264,15.625863070441659,0.2510838,11.373290327593296,12.92232888903944,704.292237324504,10.411532067856296,0.01742014017767044,0.2623031773376622,5.890407875210429,0.02610763901000732,0.0319289244650128,0.1657165396103293,0.28838122356420864,120.89033976033882,1.760312138276882,0.003815762296055641,0.1170565615641677,0.14476395536808442
2.0,tuned,BW,10,512,256,64,2235661,2534.8,10.9,0.43124628020727424,2.248809842902145,9.7070559959931,1.4975067854994186,4.597939806421618,13.093483470842475,35.61026542375373,95.48581909168482,20.398242305048075,0.024602869999999992,48.96892532990214,4.990926832954464,72.71374621685291,1.9692073983655902,0.08509012696561521,0.060261276489890755,1.9698985021714424,0.06946045463852313,0.21156119885676922,0.5702748424233441,2.2668695364291107,78.4781520413095,8.105176005306742,0.0024862829001454432,5.869443658406329,0.32452089034276443
2.0,tuned,LL,10,512,256,64,2235661,51164.4,55.1,0.10762457093582459,45.390479076794065,48.45585501704802,1.3094664388807398,5.238272869099143,15.543876643107613,48.14858650761113,127.9400309767514,15.039421916620245,0.019452509999999982,54.35730670936412,7.30496471793781,732.1619735793138,10.159286939107051,0.01935383726222432,0.293936598372063,6.45413919865959,0.008761753116279554,0.04549930363946452,0.2058766563075857,0.6161761828215251,60.957228158678284,1.1772020039758795,0.0003939570625221701,1.0585273622700944,0.12822496137191253
4.0,nominal,ALL,10,512,512,25,100000,87081.0,85.0,0.0975687913912378,100.0,100.0,2.123004734544653,6.618244336525007,20.093164187777063,45.54902577133841,136.99265878265285,15.842466464294628,0.08190684499999998,21.450158717349055,10.075337219980161,1738.54607199362,14.476033833738976,0.016352655236819856,0.0,0.0,0.02130785544993741,0.03643691445839669,0.1520371218796942,0.2945919645749256,52.17836896178546,1.2729840579241367,0.0017402886780726408,0.40416519162950104,0.12154241481080055
4.0,nominal,BH,10,512,512,25,100000,47204.2,37.8,0.08011478481659076,54.20583596340001,44.15939083776918,3.2998958138585506,7.921004128003242,22.931743684087927,44.74435309612876,127.09200861878205,15.673087223875433,0.2541449,11.370854428638701,12.77528669459018,1033.8379198135679,9.897249898611006,0.020951325841097566,0.2592538430803388,7.490605624947737,0.03715150338241396,0.056854041597142524,0.2295459578898492,0.3336654370211473,58.758100366227524,1.6971494700510166,0.005372374592921349,0.18327824036534388,0.20765392613192873
