calibration,eps_y_nm,sigma_MC,sigma_win,sigma_jack,sigma_tot
n_m,0.5,0.204,0.434,0.404,0.627
n_m,1,0.157,0.335,0.135,0.394
n_m,2,0.104,0.121,0.329,0.366
n_m,4,0.180,0.474,0.490,0.705
n_m,8,0.099,0.088,0.120,0.179
n_m,12,0.276,0.087,0.199,0.351
n_m,20,0.357,0.029,0.072,0.365
n_y,1,0.084,0.150,0.272,0.322
n_y,2,0.095,0.376,0.392,0.551
n_y,4,0.125,0.426,0.484,0.657
n_y,8,0.043,0.026,0.051,0.072
n_y,12,0.058,0.254,0.445,0.516
n_y,16,0.017,0.015,0.020,0.030
n_y,20,0.018,0.066,0.111,0.130
