filename,source_dir,seed,emitx_nm,emity_nm,n_reach,n_total
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_100805.ref,output,100805,100.0,0.5,2256,2079706
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_105469.ref,output,105469,100.0,0.5,1820,1904700
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_130471.ref,output,130471,100.0,0.5,2776,2294647
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_135135.ref,output,135135,100.0,0.5,2207,2268400
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_143455.ref,output,143455,100.0,0.5,1777,1834160
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_145992.ref,output,145992,100.0,0.5,2219,2250046
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_153768.ref,output,153768,100.0,0.5,2047,2134398
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_159302.ref,output,159302,100.0,0.5,2047,2134398
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167029.ref,output,167029,100.0,0.5,2121,1835389
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167815.ref,output,167815,100.0,0.5,1996,2022950
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_286038.ref,output,286038,100.0,0.5,1890,1925940
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_100805.ref,output,100805,100.0,1.0,2017,2046832
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_135135.ref,output,135135,100.0,1.0,1796,1902620
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_143455.ref,output,143455,100.0,1.0,1965,1992320
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_145992.ref,output,145992,100.0,1.0,2142,2181576
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_153768.ref,output,153768,100.0,1.0,2333,2007439
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167815.ref,output,167815,100.0,1.0,1920,1934048
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_286038.ref,output,286038,100.0,1.0,2019,2039692
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_479728.ref,output,479728,100.0,1.0,1696,1790802
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0015_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_100805.ref,output,100805,100.0,1.5,1508,1640252
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0015_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_105469.ref,output,105469,100.0,1.5,1771,1862144
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0015_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_130471.ref,output,130471,100.0,1.5,1733,1813424
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0015_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_135135.ref,output,135135,100.0,1.5,1731,1855930
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0015_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_143455.ref,output,143455,100.0,1.5,1789,1839864
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0015_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_153768.ref,output,153768,100.0,1.5,1656,1784092
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0015_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_159302.ref,output,159302,100.0,1.5,1544,1612210
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0015_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167815.ref,output,167815,100.0,1.5,1874,1883004
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0015_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_286038.ref,output,286038,100.0,1.5,1753,1719595
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0015_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_479728.ref,output,479728,100.0,1.5,1785,1816018
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0015_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_527875.ref,output,527875,100.0,1.5,1667,1762256
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_100805.ref,output,100805,100.0,2.0,1451,1506974
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_130471.ref,output,130471,100.0,2.0,1548,1653964
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_135135.ref,output,135135,100.0,2.0,1786,1817294
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_143455.ref,output,143455,100.0,2.0,1780,1773288
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_145992.ref,output,145992,100.0,2.0,1541,1620621
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_153768.ref,output,153768,100.0,2.0,1749,1669114
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167029.ref,output,167029,100.0,2.0,1774,1781122
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167815.ref,output,167815,100.0,2.0,1652,1669462
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_286038.ref,output,286038,100.0,2.0,1591,1640612
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_479728.ref,output,479728,100.0,2.0,1664,1701830
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0025_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_100805.ref,output,100805,100.0,2.5,1419,1415204
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0025_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_105469.ref,output,105469,100.0,2.5,1731,1719418
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0025_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_135135.ref,output,135135,100.0,2.5,1607,1755018
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0025_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_145992.ref,output,145992,100.0,2.5,1678,1659868
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0025_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_153768.ref,output,153768,100.0,2.5,1743,1720658
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0025_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_159302.ref,output,159302,100.0,2.5,1663,1664482
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0025_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167029.ref,output,167029,100.0,2.5,1492,1521208
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0025_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167815.ref,output,167815,100.0,2.5,1439,1556872
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0025_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_286038.ref,output,286038,100.0,2.5,1577,1642330
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0025_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_360177.ref,output,360177,100.0,2.5,1404,1448428
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0025_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_479728.ref,output,479728,100.0,2.5,1541,1640330
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.0025_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_527875.ref,output,527875,100.0,2.5,1427,1505944
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_100805.ref,output,100805,100.0,4.0,1446,1457944
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_105469.ref,output,105469,100.0,4.0,1515,1561768
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_135135.ref,output,135135,100.0,4.0,1552,1602188
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_143455.ref,output,143455,100.0,4.0,1467,1527310
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_145992.ref,output,145992,100.0,4.0,1562,1587654
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_153768.ref,output,153768,100.0,4.0,1521,1586888
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_159302.ref,output,159302,100.0,4.0,1392,1436788
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167029.ref,output,167029,100.0,4.0,1383,1510718
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167815.ref,output,167815,100.0,4.0,1378,1435422
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_286038.ref,output,286038,100.0,4.0,1582,1602497
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_360177.ref,output,360177,100.0,4.0,1258,1374814
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_479728.ref,output,479728,100.0,4.0,1385,1431110
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_527875.ref,output,527875,100.0,4.0,1257,1379354
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_145992.ref,output,145992,100.0,5.0,1471,1554056
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_153768.ref,output,153768,100.0,5.0,1411,1463678
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_159302.ref,output,159302,100.0,5.0,1321,1393452
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167029.ref,output,167029,100.0,5.0,1358,1463356
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167815.ref,output,167815,100.0,5.0,1369,1391482
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_286038.ref,output,286038,100.0,5.0,1445,1532844
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_360177.ref,output,360177,100.0,5.0,1243,1317628
