source_dir,filename,n_x,n_y,n_z,n_m,particles,emitt_x,emitt_y,beta_x,beta_y,sigma_z,offset_y,seed,integration_method,n_t,cut_x,cut_y,cut_z,lumi_ee,lumi_fine,phot_e1,phot_e2,n_phot1,n_phot2,de1,de2,n_pairs,e_pairs,out_1,out_2
output,1024_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_100805.ref,1024,512,25,,0.624,0.1,0.008,12.0,0.12,100,0,100805,,,,,,1.3467e+35,1.32254e+35,6.61581,6.59199,7.73594,7.759,51.258,51.2206,1382660.0,4616330.0,294,283
output,1024_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_105469.ref,1024,512,25,,0.624,0.1,0.008,12.0,0.12,100,0,105469,,,,,,1.30552e+35,1.27976e+35,6.63707,6.6098,7.71251,7.77412,51.2572,51.48,1358048.0,4585120.0,326,400
output,1024_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_130471.ref,1024,512,25,,0.624,0.1,0.008,12.0,0.12,100,0,130471,,,,,,1.2951e+35,1.27168e+35,6.6077,6.61068,7.69933,7.70735,50.9565,51.0226,1350058.0,4524810.0,331,304
output,1024_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_135135.ref,1024,512,25,,0.624,0.1,0.008,12.0,0.12,100,0,135135,,,,,,1.33845e+35,1.31081e+35,6.61789,6.6079,7.79794,7.80996,51.6806,51.6866,1378004.0,4603780.0,279,282
output,1024_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_143455.ref,1024,512,25,,0.624,0.1,0.008,12.0,0.12,100,0,143455,,,,,,1.27794e+35,1.25201e+35,6.61607,6.5882,7.74941,7.87879,51.3504,52.0009,1356684.0,4614890.0,329,396
output,1024_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_145992.ref,1024,512,25,,0.624,0.1,0.008,12.0,0.12,100,0,145992,,,,,,1.35025e+35,1.32604e+35,6.60893,6.58065,7.72553,7.7269,51.1418,50.9222,1391410.0,4661190.0,324,309
output,1024_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_153768.ref,1024,512,25,,0.624,0.1,0.008,12.0,0.12,100,0,153768,,,,,,1.37832e+35,1.3522e+35,6.56404,6.5901,7.84103,7.84631,51.5536,51.7816,1415768.0,4730560.0,324,303
output,1024_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_159302.ref,1024,512,25,,0.624,0.1,0.008,12.0,0.12,100,0,159302,,,,,,1.20628e+35,1.18436e+35,6.65129,6.63072,7.69789,7.7286,51.2688,51.309,1283208.0,4310400.0,287,263
output,1024_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167029.ref,1024,512,25,,0.624,0.1,0.008,12.0,0.12,100,0,167029,,,,,,1.2975e+35,1.27247e+35,6.60251,6.65104,7.7217,7.66576,51.0569,51.0651,1351964.0,4555880.0,299,273
output,1024_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167815.ref,1024,512,25,,0.624,0.1,0.008,12.0,0.12,100,0,167815,,,,,,1.2594e+35,1.23501e+35,6.59009,6.58052,7.84954,7.87661,51.8228,51.9398,1340386.0,4558160.0,438,459
output,1024_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_286038.ref,1024,512,25,,0.624,0.1,0.008,12.0,0.12,100,0,286038,,,,,,1.29433e+35,1.26993e+35,6.59749,6.60236,7.71074,7.68858,50.9462,50.8195,1353298.0,4545310.0,301,244
