# Phase-9 Batch 3: Fig 5 + Fig 8 calibration sims, sorted by ascending n_m.
# 90 simulations.
# particles emitt_x emitt_y beta_x beta_y sigma_z offset_y n_x n_y n_z n_m integration_method n_t seed
0.624 0.9 0.0005 12.0 0.12 100 0 512 64 64 5625000 2 6 100805
0.624 0.9 0.0005 12.0 0.12 100 0 512 64 64 5625000 2 6 105469
0.624 0.9 0.0005 12.0 0.12 100 0 512 64 64 5625000 2 6 130471
0.624 0.9 0.0005 12.0 0.12 100 0 512 64 64 5625000 2 6 135135
0.624 0.9 0.0005 12.0 0.12 100 0 512 64 64 5625000 2 6 143455
0.624 0.9 0.0005 12.0 0.12 100 0 512 64 64 5625000 2 6 145992
0.624 0.9 0.0005 12.0 0.12 100 0 512 64 64 5625000 2 6 153768
0.624 0.9 0.0005 12.0 0.12 100 0 512 64 64 5625000 2 6 159302
0.624 0.9 0.0005 12.0 0.12 100 0 512 64 64 5625000 2 6 167029
0.624 0.9 0.0005 12.0 0.12 100 0 512 64 64 5625000 2 6 167815
0.624 0.9 0.0005 12.0 0.12 100 0 512 64 64 5625000 2 6 286038
0.624 0.9 0.0005 12.0 0.12 100 0 512 64 64 5625000 2 6 360177
0.624 0.9 0.0005 12.0 0.12 100 0 512 64 64 5625000 2 6 479728
0.624 0.9 0.0005 12.0 0.12 100 0 512 64 64 5625000 2 6 527875
0.624 0.9 0.0005 12.0 0.12 100 0 512 64 64 5625000 2 6 733579
0.624 0.9 0.001 12.0 0.12 100 0 512 256 64 7050000 2 6 100805
0.624 0.9 0.001 12.0 0.12 100 0 512 256 64 7050000 2 6 105469
0.624 0.9 0.001 12.0 0.12 100 0 512 256 64 7050000 2 6 130471
0.624 0.9 0.001 12.0 0.12 100 0 512 256 64 7050000 2 6 135135
0.624 0.9 0.001 12.0 0.12 100 0 512 256 64 7050000 2 6 143455
0.624 0.9 0.001 12.0 0.12 100 0 512 256 64 7050000 2 6 145992
0.624 0.9 0.001 12.0 0.12 100 0 512 256 64 7050000 2 6 153768
0.624 0.9 0.001 12.0 0.12 100 0 512 256 64 7050000 2 6 159302
0.624 0.9 0.001 12.0 0.12 100 0 512 256 64 7050000 2 6 167029
0.624 0.9 0.001 12.0 0.12 100 0 512 256 64 7050000 2 6 167815
0.624 0.9 0.001 12.0 0.12 100 0 512 256 64 7050000 2 6 286038
0.624 0.9 0.001 12.0 0.12 100 0 512 256 64 7050000 2 6 360177
0.624 0.9 0.001 12.0 0.12 100 0 512 256 64 7050000 2 6 479728
