n_x,n_y,n_z,n_m,particles,emitt_x,emitt_y,beta_x,beta_y,sigma_z,offset_y,integration_method,n_t,cut_x,cut_y,cut_z,grids,n_runs,n_seeds,source_dirs,seeds
512,512,25,,0.624,0.1,0.0005,12.0,0.12,100,0.0,,,,,,,30,30,output,100805;105469;105648;130471;135135;143455;145992;153768;159302;167029;167815;238461;274935;286038;352871;360177;394826;479728;496023;512837;527875;591734;648219;689421;723546;733579;745198;817354;893274;902156
512,512,25,,0.624,0.1,0.0005,12.0,0.12,100,0.0049525699995,,,,,,,10,10,output,145992;153768;159302;167029;167815;286038;360177;479728;527875;733579
512,512,25,,0.624,0.1,0.0005,12.0,0.12,100,0.049525699995,,,,,,,10,10,output,145992;153768;159302;167029;167815;286038;360177;479728;527875;733579
512,512,25,,0.624,0.1,0.0005,12.0,0.12,100,0.49525699995,,,,,,,10,10,output,145992;153768;159302;167029;167815;286038;360177;479728;527875;733579
512,512,25,10000.0,0.624,0.1,0.0005,12.0,0.12,100,0.0,2.0,6.0,,,,,15,15,output_nm,100805;105469;130471;135135;143455;145992;153768;159302;167029;167815;286038;360177;479728;527875;733579
512,512,25,100000.0,0.624,0.15,0.0005,12.0,0.12,100,0.0,2.0,6.0,,,,,15,15,output_nm,100805;105469;130471;135135;143455;145992;153768;159302;167029;167815;286038;360177;479728;527875;733579
512,512,25,,0.624,0.2,0.0005,12.0,0.12,100,0.0,,,,,,,30,30,output,100805;105469;105648;130471;135135;143455;145992;153768;159302;167029;167815;238461;274935;286038;352871;360177;394826;479728;496023;512837;527875;591734;648219;689421;723546;733579;745198;817354;893274;902156
512,512,25,100000.0,0.624,0.2,0.0005,12.0,0.12,100,0.0,2.0,6.0,,,,,15,15,output_nm,100805;105469;130471;135135;143455;145992;153768;159302;167029;167815;286038;360177;479728;527875;733579
128,512,25,,0.624,0.3,0.0005,12.0,0.12,100,0.0,,,,,,,15,15,output,100805;105469;130471;135135;143455;145992;153768;159302;167029;167815;286038;360177;479728;527875;733579
256,512,25,,0.624,0.3,0.0005,12.0,0.12,100,0.0,,,,,,,15,15,output,100805;105469;130471;135135;143455;145992;153768;159302;167029;167815;286038;360177;479728;527875;733579
512,128,25,,0.624,0.3,0.0005,12.0,0.12,100,0.0,,,,,,,15,15,output,100805;105469;130471;135135;143455;145992;153768;159302;167029;167815;286038;360177;479728;527875;733579
512,256,25,,0.624,0.3,0.0005,12.0,0.12,100,0.0,,,,,,,15,15,output,100805;105469;130471;135135;143455;145992;153768;159302;167029;167815;286038;360177;479728;527875;733579
512,512,25,,0.624,0.3,0.0005,12.0,0.12,100,0.0,,,,,,,30,30,output,100805;105469;105648;130471;135135;143455;145992;153768;159302;167029;167815;238461;274935;286038;352871;360177;394826;479728;496023;512837;527875;591734;648219;689421;723546;733579;745198;817354;893274;902156
